release_date,title,main_director,soup
2007-01-01,A Mighty Heart,michaelwinterbottom,terror journal newlov sad fbi despair hostagedrama support hope friendship faith loss pakistan murder independentfilm pregnanc angelinajolie danfutterman irrfankhan michaelwinterbottom drama thriller
2002-05-22,Irreversible,gasparnoé,pari prostitut rape sex nuditi trauma knife assault polic love reveng unsimulatedsex cruelti brutal violenc drug dark evil boyfriend rapeandreveng underpass newfrenchextrem monicabellucci vincentcassel albertdupontel gasparnoé drama thriller crime mystery
1989-04-21,Field of Dreams,philaldenrobinson,regret basedonnovel basebal miracl farm sport roadtrip author doctor cornfield reclus pta ghost reconcili hearingvoic schoolboard kevincostner amymadigan gabyhoffmann philaldenrobinson drama fantasy
2010-06-10,The A-Team,joecarnahan,warcrim militarycourt militaryservic doublecross aftercreditssting duringcreditssting liamneeson bradleycooper jessicabiel joecarnahan thriller action adventure comedy crime
2016-06-01,The Handmaiden,parkchan-wook,femalenud conman pickpocket plot lesbiansex explicitsex conwoman lesbian scissor kimmin-hee kimtae-ri hajung-woo parkchan-wook thriller drama romance
2002-05-24,Spirit: Stallion of the Cimarron,kellyasbury,humanb freedom mustang rivalri wildlif anim cavalri indianwar eyebrow wildhors mattdamon jamescromwell danielstudi kellyasbury western animation adventure comedy family
2016-09-09,The Fury of a Patient Man,raúlarévalo,robberi bar son father reveng crime antoniodelatorre luiscallejo ruthdíaz raúlarévalo thriller
1952-03-27,High Noon,fredzinnemann,gunsling showdown fistfight moral u.s.marsh battl justic oneagainstmani quickdraw brawl streetshootout garycooper gracekelly thomasmitchell fredzinnemann western
2009-10-10,2012,rolandemmerich,civil naturaldisast endoftheworld disast apocalyps destruct volcanicerupt mayan ark solar destructionofmankind johncusack amandapeet chiwetelejiofor rolandemmerich action adventure sciencefiction
2006-10-20,Night at the Museum,shawnlevy,museum skeleton nightshift chao genghiskhan mayacivil naturalhistori theodoreroosevelt dinosaur basedonchildren'sbook magicalobject securityguard duringcreditssting inanimateobjectscomingtolif benstiller jakecherry carlagugino shawnlevy action adventure comedy family fantasy
2006-03-23,Ice Age: The Meltdown,carlossaldanha,mammoth sloth iceag barrieric icemelt iceberg flood adventur lover delug saber-toothedtig rayromano johnleguizamo denisleary carlossaldanha animation family comedy adventure
1973-10-15,Badlands,terrencemalick,massmurd ontherun fugit killingspre gritti southdakota badland martinsheen sissyspacek ramonbieri terrencemalick crime drama
1976-06-06,The Omen,richarddonner,monk propheci ambassador nanni rottweil devil'sson revel aggressionbyanim photographi paranormalphenomena cowardli archaeologist gregorypeck leeremick davidwarner richarddonner horror thriller
1988-07-15,Die Hard,johnmctiernan,helicopt journalist basedonnovel terrorist skyscrap christmasparti s.w.a.t. hostag kidnap vault fistfight murder heist shootout losangel onemanarmi explos violenc fbiagent walkietalki christmasev elevatorshaft onenight actionhero brucewillis alanrickman alexandergodunov johnmctiernan action thriller
2009-02-05,Coraline,henryselick,dream eye stuffedanim parallelworld button newhom secretdoor aftercreditssting duringcreditssting dakotafanning terihatcher jennifersaunders henryselick animation family
2009-10-15,Law Abiding Citizen,f.garygray,tattoo secretpassag baseballbat deal explos justic districtattorney courtroom vigilant jamiefoxx gerardbutler colmmeaney f.garygray drama crime thriller
1992-03-20,Basic Instinct,paulverhoeven,danc malenud femalenud sexualobsess sanfrancisco sadist detect jealousi gun erotic menac nuditi suspicionofmurd ex-lov plannedmurd cigarett bisexu orgasm bedroom bed underwear dyinganddeath auto danger lover stripteas sadism polic psychopath femmefatal sociopath bdsm eroticthril michaeldouglas sharonstone georgedzundza paulverhoeven thriller mystery
2010-10-21,Saw: The Final Chapter,kevingreutert,survivor violenc selfhelpguru tricycl prostheticarm pigmask 3d tobinbell costasmandylor betsyrussell kevingreutert horror crime
2012-05-30,Prometheus,ridleyscott,android dystopia alien spinoff creation emergencysurgeri aftercreditssting stasi archeologicaldig godcomplex cavedraw geneticmut originsoflif noomirapace michaelfassbender guypearce ridleyscott sciencefiction adventure mystery
2009-12-08,The Princess and the Frog,ronclements,basedonnovel voodoo kiss princess anim cajun firefli basedonfairytal duringcreditssting bigdream frogprinc charlatan anikanonirose brunocampos keithdavid ronclements romance family animation music
1983-03-16,Jaws 3-D,joealves,dive dolphin florida sequel scubadiv swim shark greatwhiteshark killershark giantanim themepark waterski boattroubl seaworld 3d dennisquaid bessarmstrong simonmaccorkindale joealves thriller horror
1982-07-09,Tron,stevenlisberger,videogam hacker virtualr dystopia comput sciencefict jeffbridges bruceboxleitner davidwarner stevenlisberger sciencefiction action adventure
2009-03-05,Watchmen,zacksnyder,dccomic secretident massmurd retir basedoncom conspiraci nuclearwar doomsday soviet maskedvigilant doomsdayclock redsquar deathofsuperhero americanpresid 1980 malinåkerman billycrudup matthewgoode zacksnyder action mystery sciencefiction
2010-10-14,The Shrine,jonknautz,journalist coffin diari villag supernatur cult escap trap cindysampson aaronashmore meghanheffern jonknautz horror
2016-12-14,Ballerina,ericsummer,pari fli inventor danc opera music life'sdream ballet orphan statueofliberti kid eiffeltowerpari 19thcenturi ellefanning danedehaan carlyraejepsen ericsummer animation family adventure comedy
2003-08-29,Open Range,kevincostner,hors beef ranger kevincostner robertduvall michaelgambon kevincostner western
2012-09-25,Resident Evil: Damnation,makotokamiya,dystopia blood zombi basedonvideogam adultanim matthewmercer courtenaytaylor robinsachs makotokamiya animation
1998-10-23,Velvet Goldmine,toddhaynes,gay greatbritain narrat glamrock bisexu musicjourn schooluniform  beginswithtext imaginaryband babyleftondoorstep fictionalband downfeath 19thcenturi 1980 ewanmcgregor christianbale jonathanrhysmeyers toddhaynes drama music
2016-07-02,Captain Fantastic,mattross,suicid social food survivalist offthegrid non-registeredhomeschool noamchomski viggomortensen georgemackay samanthaisler mattross adventure comedy drama romance
2009-05-20,Terminator Salvation,mcg,savingtheworld artificialintellig propheci sanfrancisco cyborg killerrobot gasstat post-apocalypt dystopia armi firearm wartim losangel christianbale samworthington antonyelchin mcg action sciencefiction thriller
1957-03-25,12 Angry Men,sidneylumet,judg juror sultri deathpenalti fathermurd puertorican anonym courtcas heat group class innoc court courtroom henryfonda martinbalsam johnfiedler sidneylumet drama
1951-07-03,Alice in Wonderland,hamiltonluske,cat dream queen heart anim noth teaparti kathrynbeaumont vernafelton edwynn hamiltonluske animation adventure family fantasy
2013-12-12,American Hustle,davido.russell,conartist scam mobster fbiagent christianbale bradleycooper amyadams davido.russell drama crime
2016-08-17,War Dogs,toddphillips,corrupt humor iraq weapon smuggl riseandfal drug americanexception milesteller jonahhill anadearmas toddphillips comedy crime drama
2015-01-14,Wild Card,simonwest,gambl bodyguard remak jasonstatham michaelangarano miloventimiglia simonwest thriller crime drama
2012-08-02,Total Recall,lenwiseman,secretag dystopia remak machinegun resistancefight falsememori robotcop suppress rebelhero safedepositbox britishcoloni smog gatlinggun centeroftheearth implantedmemori colinfarrell katebeckinsale jessicabiel lenwiseman action sciencefiction adventure thriller
1977-11-27,The Hobbit,julesbass,elv dwarv orc rivendel robberi gold magic spider eagl dragon orsonbean richardboone hansconried julesbass adventure animation family
2014-02-06,The Lego Movie,phillord,fathersonrelationship creativ friendship partliveact toy basedontoy fallinginlov superpow duringcreditssting differentworld lego batman chrispratt willferrell elizabethbanks phillord adventure animation comedy family fantasy
1997-12-24,Jackie Brown,quentintarantino,airport underworld armsdeal weapon polic drug pamgrier samuell.jackson robertforster quentintarantino comedy crime romance
1989-06-15,Ghostbusters II,ivanreitman,slime ghostbust productplac reincarn paint crudehumor scream singlemoth oldflam courtroom bookstor chryslerbuild riverofslim revolvingdoor referencetoslinki occultresearch billmurray danaykroyd sigourneyweaver ivanreitman comedy fantasy
2017-03-03,The Shack,stuarthazeldine,basedonnovel christian lossofdaught deathofachild guilt deathofdaught familytrip samworthington octaviaspencer timmcgraw stuarthazeldine drama fantasy
2014-09-27,Northmen: A Viking Saga,claudiofäh, ryankwanten jamesnorton edskrein claudiofäh adventure
2013-12-25,The Wolf of Wall Street,martinscorsese,corrupt sex sexual bank humor biographi wallstreet marriagecrisi riseandfal stockbrok drug stockbrok leonardodicaprio jonahhill margotrobbie martinscorsese crime drama comedy
2009-07-17,(500) Days of Summer,marcwebb,date sex jealousi fight architect galleri interview sister parti love friend fate losangel summer ikea year heartach josephgordon-levitt zooeydeschanel chloëgracemoretz marcwebb comedy drama romance
2012-09-27,Taken 2,oliviermegaton,kidnap turkey policechas bagoverhead violenc fbiagent teenagedaught stealingacar ex-husbandex-wiferelationship albanian u.s.embassi killedinanelev securityguardkil liamneeson maggiegrace famkejanssen oliviermegaton action crime thriller
2013-11-08,The Book Thief,brianpercival,worldwarii book nazigermani jewish geoffreyrush sophienélisse emilywatson brianpercival drama
2008-02-18,Taken,pierremorel,pari kidnap humantraffick rescu prostitut albanian missingdaught exciaag liamneeson famkejanssen maggiegrace pierremorel action thriller
1992-11-25,Aladdin,ronclements,magic music cartoon princess love comedi anim monkey arab aftercreditssting geni animalsidekick scottweinger robinwilliams lindalarkin ronclements animation family comedy adventure fantasy romance
2007-08-25,Wrong Turn 2: Dead End,joelynch,westvirginia wood realityshow cannib ericaleerhsen henryrollins texasbattle joelynch horror thriller
2014-12-03,Exodus: Gods and Kings,ridleyscott,mose bibl ancientegypt 3d rams christianbale joeledgerton johnturturro ridleyscott adventure drama action
2014-10-01,Dracula Untold,garyshore,vampir dracula bite battl 15thcenturi ottomanempir vlad fangvamp tepe lukeevans sarahgadon dominiccooper garyshore horror action drama fantasy war
2015-08-14,Turbo Kid,françoissimard,post-apocalypt dystopia gore bmx violenc splatter womandirector munrochambers laurenceleboeuf michaelironside françoissimard action adventure comedy sciencefiction
1995-07-19,The Usual Suspects,bryansinger,law rel theft crimin criminalmastermind hungarian sibl stephenbaldwin gabrielbyrne chazzpalminteri bryansinger drama crime thriller
2005-05-03,Kingdom of Heaven,ridleyscott,crusad epic knight swordsman orderofthetemplar religi knighttemplar saladin kingrichard orlandobloom evagreen jeremyirons ridleyscott drama action adventure history war
1976-01-01,A Real Young Girl,catherinebreillat,franc loveatfirstsight parentchildrelationship puberti erotic firsttim women'ssexualident provoc precoc girls'boardingschool teenagecrush unsimulatedsex womandirector charlottealexandra hiramkeller ritamaiden catherinebreillat drama
2016-01-21,Dirty Grandpa,danmazer,grandfathergrandsonrelationship grandfath roadtrip wed retir pervert armygener sexcomedi zacefron robertdeniro juliannehough danmazer comedy
2016-01-21,Dirty Grandpa,danmazer,grandfathergrandsonrelationship grandfath roadtrip wed retir pervert armygener sexcomedi zacefron robertdeniro juliannehough danmazer comedy
2014-05-16,The Fault in Our Stars,joshboone,amsterdam basedonnovel supportgroup cancer teenag starcrossedlov teendrama oxygentank basedonyoungadultnovel shailenewoodley anselelgort natwolff joshboone romance drama
2013-06-20,Monsters University,danscanlon,monster dormitori game anim bestfriend univers scari aftercreditssting billycrystal johngoodman stevebuscemi danscanlon animation family
1937-12-20,Snow White and the Seven Dwarfs,davidhand,poison witch becominganadult sad queen attemptedmurd dyinganddeath appear princess candlelightvigil snowwhit adrianacaselotti lucillelaverne harrystockwell davidhand fantasy animation family
2011-10-06,The Human Centipede 2 (Full Sequence),tomsix,sexualobsess rape sex sadist babi kidnap exploit wound suffer victim sadism knife tool sequel controversi decept murder sexploit gore mute blood rapevictim sexualviol tortur sadist cruelti violentdeath brutal violenc heldcapt captiv extremesad centiped mouth perversesex onan pervert sexualsad fece bannedfilm sandpap trilog apart pervert humili death rapist bdsm sexualtortur manwithglass defec crowbar evilman insect hellonearth violentsex verylittledialogu funnel diarrhea paraphilia vile transgressivefilm coprophagia scatolog dehuman laurencer.harvey ashlynnyennie dominicborrelli tomsix drama horror crime
1984-12-14,Birdy,alanparker,lunaticasylum vietnamwar matthewmodine nicolascage johnharkins alanparker drama history
1995-05-19,Forget Paris,billycrystal,pari dalla basketbal crisi fallinginlov refere billycrystal debrawinger joemantegna billycrystal comedy drama romance
2012-09-20,Hotel Transylvania,genndytartakovsky,witch magic mummi vampir dracula skeleton backpack frankenstein wolfman zombi invisibleman duringcreditssting  nosferatu protectivefath fangvamp adamsandler stevebuscemi davidspade genndytartakovsky animation comedy family fantasy
2004-05-19,Shrek 2,andrewadamson,prison magic liber honeymoon parents-in-law kingdom enchant dancingscen transform fairy-talefigur mikemyers eddiemurphy camerondiaz andrewadamson adventure animation comedy family fantasy
2003-05-15,The Matrix Reloaded,lillywachowski,savingtheworld artificialintellig manvsmachin martialart kungfu undergroundworld dream hero fight computerviru key futur plato precognit rave dyinganddeath virtualr dystopia comput faith worldreligion truth mission cyberpunk womandirector gnostic keanureeves carrie-annemoss laurencefishburne lillywachowski adventure action thriller sciencefiction
2017-06-28,Bedeviled,abelvang,supernatur cellphon entiti evil app saxonsharbino bonniemorgan brandonsoohoo abelvang horror thriller
2015-10-09,Steve Jobs,dannyboyle,biographi comput fatherdaughterrelationship applecomput stevejob basedontrueev michaelfassbender katewinslet sethrogen dannyboyle drama history
2014-08-22,The Prince,brianamiller,mobster justic retir miss missingdaught brucewillis jasonpatric johncusack brianamiller thriller action
2007-08-27,The Orphanage,juanantoniobayona,schizophrenia suppressedpast wife belénrueda fernandocayo rogerpríncep juanantoniobayona horror drama thriller
2009-09-24,Surrogates,jonathanmostow,clone dystopia brucewillis radhamitchell rosamundpike jonathanmostow action sciencefiction thriller
2007-08-17,Superbad,gregmottola,becominganadult highschool youngpeopl onenight jonahhill michaelcera christophermintz-plasse gregmottola comedy
2010-05-22,Undisputed III : Redemption,isaacflorentine,prison showdown shotgun fight prisoncel champion fighter bloodsplatt beat jail blood tournament brutal jailcel prisonfight carrot scottadkins mykelshannonjenkins markivanir isaacflorentine action thriller
2003-02-21,Old School,toddphillips,sexdol streak mouthtomouthresuscit lukewilson willferrell vincevaughn toddphillips comedy
1988-12-21,Beaches,garrymarshall,deathofafriend femalefriendship deathofmoth childhoodfriend femalesing dyingyoung cardiomyopathi bettemidler barbarahershey johnheard garrymarshall comedy drama
2005-03-17,The Ring Two,hideonakata,nun basedonnovel bathtub nightmar son sequel remak vision goodvsevil womanreport mentalinstitut videotap evilchild naomiwatts simonbaker elizabethperkins hideonakata drama horror thriller
2017-03-03,Viceroy's House,gurinderchadha,independ religiousconflict colonialindia hughbonneville gilliananderson michaelgambon gurinderchadha drama history
2002-11-26,Treasure Planet,ronclements,cyborg basedonnovel spacemarin mutini lossoffath map pirategang treasurehunt littleboy space alien anim money treasuremap planet troubledteen spacepir josephgordon-levitt brianmurray davidhydepierce ronclements adventure animation family fantasy sciencefiction
2005-05-25,Madagascar,ericdarnell,lion hippopotamu giraff penguin zebra benstiller chrisrock davidschwimmer ericdarnell family animation
2004-11-19,Howl's Moving Castle,hayaomiyazaki,fli witch rain castl scarecrow bodyexchang hatter bakeri demon anim takuyakimura akihiromiwa tatsuyagashûin hayaomiyazaki fantasy animation adventure
2017-02-15,Handsome Devil,johnbutler,homosexualidad homofobia nicholasgalitzine fionno'shea moedunford johnbutler drama
2008-06-22,WALL·E,andrewstanton,romanticcomedi benburtt elissaknight jeffgarlin andrewstanton animation family
2011-11-02,The Intouchables,erictoledano,malefriendship masseus friendship aristocrat interracialfriendship unlikelyfriendship duringcreditssting françoiscluzet omarsy audreyfleurot erictoledano drama comedy
2016-05-15,The Nice Guys,shaneblack,pornographi detect 1970 investig daughter alcohol parti conspiraci privateinvestig fatherdaughterrelationship alcohol privateey russellcrowe ryangosling angourierice shaneblack action comedy crime thriller
1986-07-25,Heartburn,mikenichols,journalist wifehusbandrelationship infidel merylstreep jacknicholson jeffdaniels mikenichols comedy drama romance
1978-08-03,Piranha,joedante,u.s.armi piranha tentcamp eugen heathermenzies kevinmccarthy dickmiller joedante horror
2017-04-12,Gifted,marcwebb,cat intellectuallygift childprodigi mathemat teacher prize childcustodi giftedchildren custodyhear math chrisevans mckennagrace lindsayduncan marcwebb drama
1998-10-02,Antz,ericdarnell,gener hero worker ant work assign war princess soldier individu friend woodyallen danaykroyd annebancroft ericdarnell adventure animation comedy family
2013-01-17,Mama,andymuschietti,supernaturalhorror jessicachastain nikolajcoster-waldau megancharpentier andymuschietti horror
2016-12-22,Gold,stephengaghan,gold fraud wallstreet mine riseandfal indonesia alcohol money goldmin 1990 inspiredbyatruestori uglyamerican matthewmcconaughey brycedallashoward edgarramírez stephengaghan thriller adventure drama
1997-10-24,A Life Less Ordinary,dannyboyle,angel sex robberi basedonnovel karaok ransom hostag kidnap chase heaven love murder janitor blood writer robot violenc ewanmcgregor camerondiaz hollyhunter dannyboyle fantasy drama comedy thriller sciencefiction romance
1993-02-20,The Cement Garden,andrewbirkin,femalenud brotherbrotherrelationship basedonnovel beach sportscar brothersisterrelationship puberti narrat nuditi diari slowmotionscen comingofag deadbodi incest rubbingsuntanlotiononsomeon kite sunbath andrewrobertson charlottegainsbourg alicecoulthard andrewbirkin drama
2015-05-20,Poltergeist,gilkenan,poltergeist hauntedhous remak duringcreditssting samrockwell rosemariedewitt saxonsharbino gilkenan horror thriller
2014-08-13,Let's Be Cops,lukegreenfield,corrupt robberi kidnap nightclub malefriendship investig polic parti murder mobster losangel lie impersonatingapoliceoffic flashback jakejohnson damonwayansjr. ninadobrev lukegreenfield comedy
2000-06-28,The Patriot,rolandemmerich,rebel southernusa lossofson martialart gener lossoffamili passion insurg french daughter southcarolina british basedontruestori gore mission melgibson heathledger joelyrichardson rolandemmerich drama history war action
1998-03-06,The Big Lebowski,joelcoen,whiterussian dude bowl vietnamveteran carpet nihil heartattack kidnap lsd marijuana losangel millionair cowboy ash impregn bowlingteam unemploy bowlingbal weed jeffbridges johngoodman juliannemoore joelcoen comedy crime
2003-05-23,Bruce Almighty,tomshadyac,christian moon respons mose streetgang lovesick journal newlov faith prayer god carcrash jimcarrey jenniferaniston philipbakerhall tomshadyac fantasy comedy
2009-02-20,Walled In,gillespaquet-brenner,suicid sex basedonnovel explos kidnap architect nightmar ax dark engin demolit murder blood tenant stab killer build tomb blueprint mischabarton cameronbright deborahkaraunger gillespaquet-brenner horror thriller
1957-08-07,3:10 to Yuma,delmerdaves,hotel smalltown hunger outlaw train rancher bandit stagecoach drought streetshootout shootoutatatrainst glennford vanheflin feliciafarr delmerdaves drama western
1986-11-07,52 Pick-Up,johnfrankenheimer,femalenud infidel blackmail pornactor murder suspens losangel elmoreleonard stripper royscheider ann-margret vanity johnfrankenheimer crime drama thriller
2016-05-13,Why Blame It on the Child?,gustavoloza, karlasouza ricardoabarca fabiolaguajardo gustavoloza comedy romance
1990-03-02,The Hunt for Red October,johnmctiernan,submarin coldwar russian defect jackryan alecbaldwin seanconnery scottglenn johnmctiernan action adventure thriller
2016-12-01,Incarnate,bradpeyton,newyork vatican dutch wheelchair exorc possess scientist demon exorcist wheelchairbound aaroneckhart davidmazouz catalinasandinomoreno bradpeyton horror thriller
2010-08-12,Eat Pray Love,ryanmurphy,indonesia femaleprotagonist india divorc bali juliaroberts jamesfranco javierbardem ryanmurphy drama
1995-09-13,Mighty Aphrodite,woodyallen,prostitut adopt adoptivefath childless lookingforbirthpar adoptivemoth independentfilm illegalprostitut child woodyallen mirasorvino helenabonhamcarter woodyallen comedy romance
2016-12-16,The Great Wall,zhangyimou,china monster archer femalesoldi explos perioddrama britishsoldi greatwallofchina 3d 15thcenturi femalegener mattdamon jingtian willemdafoe zhangyimou action adventure fantasy
2014-09-19,Space Station 76,jackplotnick,asteroid futur retro mattbomer jerryo'connell livtyler jackplotnick drama comedy sciencefiction
2012-06-21,Brave,brendachapman,scotland rebel braveri kingdom archer wish bear scot rebelliousdaught turnsintoanim archeri ruin aftercreditssting peaceoff womandirector courag 3d kellymacdonald billyconnolly emmathompson brendachapman animation adventure comedy family action fantasy
1996-08-02,Chain Reaction,andrewdavis,fbi hydrogenbomb secretlab energysuppli conspiraci aftercreditssting keanureeves morganfreeman rachelweisz andrewdavis action drama sciencefiction thriller
2015-05-07,Pitch Perfect 2,elizabethbanks,music sequel singer malefemalerelationship audit groupoffriend duringcreditssting singingcompetit femalemusician singingcontest womandirector acapella annakendrick rebelwilson haileesteinfeld elizabethbanks comedy music
2015-02-27,Into the Grizzly Maze,davidhackl,grizzlybear wilder forest alaska surviv bear jamesmarsden thomasjane piperperabo davidhackl action horror thriller
2008-01-03,The Fall,tarsemsingh,fictionalplac morphin storytel darwin imagin 1920 catincauntaru leepace justinewaddell tarsemsingh adventure fantasy drama
2001-06-11,Lara Croft: Tomb Raider,simonwest,treasur buddhistmonk planetaryconfigur angkorwat illuminati williamblak treasurehunt archaeologist basedonvideogam archeology  angelinajolie jonvoight iainglen simonwest adventure fantasy action thriller
2017-07-21,Descendants 2,kennyortega,fairytal villain music teenmovi teenag dovecameron sofiacarson cameronboyce kennyortega tvmovie family action comedy music adventure
1999-12-23,Galaxy Quest,deanparisot,spacebattl spaceship spoof fictionaltvshow timallen sigourneyweaver alanrickman deanparisot comedy family sciencefiction
2010-02-18,Shutter Island,martinscorsese,basedonnovel island hurrican investig psychiatrichospit u.s.marsh conspiracytheori 1950 leonardodicaprio markruffalo benkingsley martinscorsese drama thriller mystery
1941-04-30,Citizen Kane,orsonwelles,journalist newspap florida capitalist banker mediatycoon artcollector sleigh money child orsonwelles josephcotten dorothycomingore orsonwelles mystery drama
2009-03-15,Drag Me to Hell,samraimi,gypsi work gore curs psychologist psychic evil loanoffic obituari engagementr alisonlohman justinlong lornaraver samraimi horror thriller
1984-05-23,Indiana Jones and the Temple of Doom,stevenspielberg,riddl treasur heart skeleton treasurehunt tortur violenc monkey cultfilm archaeologist thugge conveyorbelt minecar ropebridg belch childdrivingacar eatingbrain split indianajon archeology  harrisonford katecapshaw jonathankequan stevenspielberg adventure action
1994-05-11,The Crow,alexproyas,halloween arson detroit brandonlee rochelledavis erniehudson alexproyas fantasy action thriller
1996-05-22,Mission: Impossible,briandepalma,pari londonengland spi cia terrorist secretident undercov armsdeal headquart secretbas secretmiss pragu embassi secretag tgv comput mission basedontvseri espionag agent tomcruise jonvoight emmanuellebéart briandepalma adventure action thriller
2017-07-13,Shot Caller,ricromanwaugh,tattoo prison california desper shoot gunbattl gang crimin nikolajcoster-waldau jonbernthal lakebell ricromanwaugh drama crime thriller
2011-09-22,Moneyball,bennettmiller,underdog basedonnovel basebal teamwork sport partner meet oaklandcalifornia strategi voiceov statist bradpitt jonahhill philipseymourhoffman bennettmiller drama
1995-04-21,While You Were Sleeping,jonturteltaub,brotherbrotherrelationship chicago coma subway loveofone'slif brother manofone'sdream hospit sandrabullock billpullman petergallagher jonturteltaub comedy drama romance
2013-05-05,Star Trek Into Darkness,j.j.abrams,spacecraft friendship sequel futurist space alien imax spaceopera terroristbomb 3d chrispine zacharyquinto zoesaldana j.j.abrams action adventure sciencefiction
1997-07-02,Men in Black,barrysonnenfeld,secretident sunglass undercov spacemarin illegalimmigr deport newident giantcockroach cannon flyingsauc staypermit alien fictionalgovernmentag tommyleejones willsmith lindafiorentino barrysonnenfeld action adventure comedy sciencefiction
2013-10-04,Curse of Chucky,donmancini,wheelchair horror killerdol escap doll toycomestolif chucki braddourif brennanelliott amartinez donmancini horror thriller
1990-01-19,Tremors,ronunderwood,nevada smalltown tractor strand cultfavorit ruralset tentacl graboid seismologist binocular maneatenbymonst giantworm kevinbacon fredward finncarter ronunderwood action horror
2017-05-19,Okja,bongjoon-ho,monster aftercreditssting tildaswinton pauldano ahnseo-hyun bongjoon-ho adventure drama fantasy sciencefiction
1961-01-25,One Hundred and One Dalmatians,hamiltonluske,puppi anim dog dalmatian rodtaylor j.pato'malley bettylougerson hamiltonluske adventure animation comedy family
2004-01-16,Along Came Polly,johnhamburg,beach honeymoon bride chanc risk relat longisland romanticcomedi comedi scubadiv unfaith losangel artgalleri danceclass oppositesattract caribbean commit danceclub neurot bagpip chanceencount insuranceriskmanag benstiller jenniferaniston philipseymourhoffman johnhamburg comedy romance
2005-06-07,Mr. & Mrs. Smith,dougliman,bomb assassin secretident secret assaultrifl gun marriedcoupl hitman decoy marriagecrisi marriag job dysfunctionalmarriag gunfight bulletwound angelinajolie bradpitt vincevaughn dougliman action comedy drama thriller
1973-12-13,Papillon,franklinj.schaffner,prison escapefromprison devil'sisland stevemcqueen dustinhoffman victorjory franklinj.schaffner crime drama
1988-12-02,The Naked Gun: From the Files of Police Squad!,davidzucker,basebal aquarium queenelisabethii terror illegaldrug criminalinvestig buddycop anarchiccomedi leslienielsen priscillapresley ricardomontalban davidzucker comedy crime
2006-05-03,Mission: Impossible III,j.j.abrams,berlin cia vatican whitehous secretident secret explos mobilephon map traitor mask honeymoon shanghai pretendedmurd secretmiss letter funer coveredinvestig toshootdead secretag video stamp harddriv e-mail decipher suitcas comput reveng murder mission hospit duel disguis celebr goodandbad researchlaboratori blast tomcruise philipseymourhoffman vingrhames j.j.abrams adventure action thriller
2014-11-27,Paddington,paulking,england trainstat basedonnovel bear anthropomorph talkingtoanim children'sbook nicolekidman petercapaldi benwhishaw paulking family comedy
2009-12-23,Sherlock Holmes,guyritchie,detect scotlandyard coffin blackmag arrest partner sherlockholm murder steampunk pentagram clue robertdowneyjr. judelaw rachelmcadams guyritchie action adventure crime mystery
2006-04-07,Tristan & Isolde,kevinreynolds,inlovewithenemi castl lover hostil reveng murder knight battl middleag jamesfranco sophiamyles rufussewell kevinreynolds drama
2005-08-26,The Brothers Grimm,terrygilliam,brotherbrotherrelationship literatur aftercreditssting heathledger mattdamon mackenziecrook terrygilliam adventure fantasy action comedy thriller
2015-09-24,The Intern,nancymeyers,intern womandirector robertdeniro annehathaway renerusso nancymeyers comedy
2000-07-30,Coyote Ugly,davidmcnally,bar music beautifulwoman piperperabo adamgarcia johngoodman davidmcnally comedy drama music romance
1999-05-19,Star Wars: Episode I - The Phantom Menace,georgelucas,propheci senat queen taskmast galaxi apprentic tax spaceopera liamneeson ewanmcgregor natalieportman georgelucas adventure action sciencefiction
1967-06-15,The Dirty Dozen,robertaldrich,basedonnovel worldwarii nazi castl secretmiss u.s.armi train handgrenad fistfight mission shootout suicidemiss soldier explos commando behindenemylin militarypolic leemarvin ernestborgnine charlesbronson robertaldrich action adventure war
1996-12-12,Mars Attacks!,timburton,savingtheworld totaldestruct whitehous mar usapresid cataclysm lasergun ambassador congress pest flyingsauc jacknicholson glennclose annettebening timburton comedy fantasy sciencefiction
2016-10-19,Jack Reacher: Never Go Back,edwardzwick,basedonnovel homicid sequel falseaccus falseaccusationofmurd tomcruise cobiesmulders aldishodge edwardzwick action
2017-05-12,The Wall,dougliman,helicopt sniper iraq murder soldier iraqwar trap desert aarontaylor-johnson johncena laithnakli dougliman drama thriller war
1968-12-21,Once Upon a Time in the West,sergioleone,showdown bounti bountyhunt lossofbroth sad blackmail harmonica antihero auction dyinganddeath peasant insan spaghettiwestern henryfonda claudiacardinale jasonrobards sergioleone western
2008-11-21,Bolt,chriswilliams,hamster kidsandfamili anim catvsdog duringcreditssting dogcatfriendship animallead girldogrelationship johntravolta mileycyrus susieessman chriswilliams animation family adventure comedy
1997-11-12,Alien: Resurrection,jean-pierrejeunet,android mercenari dystopia sequel alien betray impal clone scientist flamethrow disembowel smuggler genemanipul maninwheelchair breed geneticengin regener xenomorph alienqueen explosivedecompress swimmingunderwat sigourneyweaver winonaryder braddourif jean-pierrejeunet sciencefiction horror action
2007-11-08,No Country for Old Men,joelcoen,texa drugtraff hitman unitedstates–mexicobarri suspens tommyleejones javierbardem joshbrolin joelcoen crime drama thriller
1996-11-14,The English Patient,anthonyminghella,cairo egypt ident amnesia worldwarii burn landmin expedit cave sandstorm royalgeographicsocieti cavepaint prisonersofwar map mineclear hear desertscientist intellig traitor muralpaint airplan secretlov ralphfiennes juliettebinoche willemdafoe anthonyminghella drama romance war
